iso3_i,country_i,iso3_j,country_j,trade_musd,ln_trade,distance,ln_dist,gdp_i_musd,ln_gdp_i,gdp_j_musd,ln_gdp_j,contiguity,common_language,agree_fta,colony_ever
EGY,Egypt,PHL,Philippines,7971.3,8.9836,9414.9,9.1501,1103773.9,13.9142,800424.5,13.5929,0,1,0,0
IDN,Indonesia,IRQ,Iraq,188204.5,12.1453,7997.3,8.9869,2741298.0,14.8239,611053.3,13.3229,0,0,0,0
ESP,Spain,IND,India,1403365.5,14.1544,7784.5,8.9599,1667510.2,14.3268,8411253.0,15.9451,0,0,0,0
VNM,Viet Nam,NLD,Netherlands,7096168.6,15.7751,9457.4,9.1545,569957.4,13.2533,848082.2,13.6507,0,0,0,0
BRA,Brazil,GBR,United Kingdom,2611286.2,14.7754,8948.2,9.0992,2905474.5,14.8821,2625843.8,14.7809,0,1,0,0
THA,Thailand,NGA,Nigeria,286986.3,12.5672,10252.1,9.2352,1102635.0,13.9132,822121.3,13.6196,0,1,0,0
CAN,Canada,RUS,Russian Federation,515433.3,13.1528,7868.6,8.9706,1620789.4,14.2984,3331626.2,15.019,0,0,0,0
FRA,France,MEX,Mexico,3092211.6,14.9444,9223.2,9.1295,2689070.0,14.8047,2288709.0,14.6435,0,0,1,0
THA,Thailand,ESP,Spain,1078704.2,13.8913,10159.0,9.2261,1102635.0,13.9132,1667510.2,14.3268,0,0,0,0
ARE,United Arab Emirates,JPN,Japan,15259892.5,16.5407,7755.1,8.9561,639613.9,13.3686,5162353.5,15.4569,0,0,0,0
ROU,Romania,THA,Thailand,106200.2,11.5731,7780.9,8.9594,485827.0,13.0936,1102635.0,13.9132,0,0,0,0
ZAF,So. African Customs Union,ITA,Italy,1281893.9,14.0638,8138.6,9.0044,672752.5,13.4191,2270468.0,14.6355,0,0,1,0
DEU,Fmr Fed. Rep. of Germany,VNM,Viet Nam,3404628.8,15.0406,9179.4,9.1247,4042900.2,15.2125,569957.4,13.2533,0,0,0,0
AUS,Australia,IND,India,11338708.3,16.2437,9372.0,9.1455,1177003.4,13.9785,8411253.0,15.9451,0,1,0,0
IRQ,Iraq,JPN,Japan,159571.8,11.9802,8137.1,9.0042,611053.3,13.3229,5162353.5,15.4569,0,0,0,0
CHN,China,DEU,Fmr Fed. Rep. of Germany,103196270.5,18.4521,8131.7,9.0035,17797724.0,16.6946,4042900.2,15.2125,0,0,0,0
PHL,Philippines,ROU,Romania,31412.6,10.355,9536.1,9.1628,800424.5,13.5929,485827.0,13.0936,0,0,0,0
NLD,Netherlands,ZAF,So. African Customs Union,1433179.8,14.1754,9289.9,9.1367,848082.2,13.6507,672752.5,13.4191,0,0,1,0
JPN,Japan,USA,USA,112674465.1,18.54,10229.0,9.233,5162353.5,15.4569,17712704.0,16.6898,0,0,0,0
MEX,Mexico,ITA,Italy,1142412.1,13.9487,10076.9,9.218,2288709.0,14.6435,2270468.0,14.6355,0,0,1,0
SWE,Sweden,MYS,Malaysia,336939.4,12.7277,9537.3,9.163,442183.8,12.9995,743163.9,13.5187,0,0,0,0
ZAF,So. African Customs Union,ESP,Spain,961237.9,13.776,8286.5,9.0224,672752.5,13.4191,1667510.2,14.3268,0,0,1,0
ZAF,So. African Customs Union,SWE,Sweden,160034.2,11.9831,9854.9,9.1957,672752.5,13.4191,442183.8,12.9995,0,0,1,0
BGD,Bangladesh,ESP,Spain,2951811.9,14.8979,8647.5,9.065,554078.6,13.2251,1667510.2,14.3268,0,0,0,0
DZA,Algeria,MEX,Mexico,27526.4,10.2229,9817.9,9.192,522118.3,13.1656,2288709.0,14.6435,0,0,0,0
BRA,Brazil,POL,Poland,1214612.3,14.0099,9976.1,9.2079,2905474.5,14.8821,1041614.3,13.8563,0,0,0,0
ZAF,So. African Customs Union,IDN,Indonesia,531263.7,13.183,9035.2,9.1089,672752.5,13.4191,2741298.0,14.8239,0,1,0,0
KOR,Rep. of Korea,AUS,Australia,6385058.4,15.6695,8026.6,8.9905,1873959.5,14.4436,1177003.4,13.9785,0,1,1,0
EGY,Egypt,CHN,China,728726.9,13.4991,7710.1,8.9503,1103773.9,13.9142,17797724.0,16.6946,0,0,0,0
CHE,Switzerland,MEX,Mexico,1379770.5,14.1374,9535.2,9.1627,558580.2,13.2332,2288709.0,14.6435,0,1,1,0
BGD,Bangladesh,AUS,Australia,753200.7,13.5321,8589.9,9.0583,554078.6,13.2251,1177003.4,13.9785,0,1,0,0
ZAF,So. African Customs Union,BGD,Bangladesh,212450.7,12.2665,8988.3,9.1037,672752.5,13.4191,554078.6,13.2251,0,1,0,0
VNM,Viet Nam,CHE,Switzerland,2274261.6,14.6372,9450.5,9.1538,569957.4,13.2533,558580.2,13.2332,0,1,0,0
NLD,Netherlands,COL,Colombia,367442.8,12.8143,8785.4,9.0809,848082.2,13.6507,634618.4,13.3608,0,0,1,0
ZAF,So. African Customs Union,BEL,Belgium-Luxembourg,3086379.4,14.9425,9167.8,9.1235,672752.5,13.4191,476003.9,13.0732,0,0,1,0
BGD,Bangladesh,ZAF,So. African Customs Union,83886.6,11.3372,8988.3,9.1037,554078.6,13.2251,672752.5,13.4191,0,1,0,0
THA,Thailand,CHE,Switzerland,8007377.0,15.8959,9126.9,9.119,1102635.0,13.9132,558580.2,13.2332,0,1,0,0
DZA,Algeria,THA,Thailand,135872.8,11.8195,9772.9,9.1874,522118.3,13.1656,1102635.0,13.9132,0,0,0,0
NGA,Nigeria,BGD,Bangladesh,63221.2,11.0544,9049.7,9.1105,822121.3,13.6196,554078.6,13.2251,0,1,0,0
COL,Colombia,POL,Poland,133786.7,11.804,9763.5,9.1864,634618.4,13.3608,1041614.3,13.8563,0,0,1,0
CAN,Canada,TUR,Turkey,998896.4,13.8144,8611.1,9.0608,1620789.4,14.2984,2189993.8,14.5994,0,0,0,0
ARG,Argentina,USA,USA,3470980.6,15.0599,8703.2,9.0714,732951.0,13.5048,17712704.0,16.6898,0,1,0,0
BRA,Brazil,USA,USA,21711464.9,16.8934,8057.6,8.9944,2905474.5,14.8821,17712704.0,16.6898,0,1,0,0
IRN,Iran,ARG,Argentina,812.4,6.6999,13923.9,9.5414,1306574.1,14.0829,732951.0,13.5048,0,0,0,0
ARG,Argentina,THA,Thailand,521088.2,13.1637,17127.9,9.7485,732951.0,13.5048,1102635.0,13.9132,0,1,0,0
ARG,Argentina,FRA,France,377184.8,12.8405,10852.2,9.2921,732951.0,13.5048,2689070.0,14.8047,0,1,0,0
VNM,Viet Nam,ARG,Argentina,693651.4,13.4497,17592.1,9.7752,569957.4,13.2533,732951.0,13.5048,0,1,0,0
AUS,Australia,ROU,Romania,23465.8,10.0633,14767.0,9.6001,1177003.4,13.9785,485827.0,13.0936,0,0,0,0
IDN,Indonesia,NLD,Netherlands,3180178.2,14.9724,11378.5,9.3395,2741298.0,14.8239,848082.2,13.6507,0,1,0,1
BRA,Brazil,AUS,Australia,498194.7,13.1187,14091.6,9.5533,2905474.5,14.8821,1177003.4,13.9785,0,1,0,0
COL,Colombia,AUS,Australia,159929.9,11.9825,14827.0,9.6042,634618.4,13.3608,1177003.4,13.9785,0,0,0,0
EGY,Egypt,USA,USA,2389517.1,14.6866,10480.5,9.2573,1103773.9,13.9142,17712704.0,16.6898,0,1,0,0
COL,Colombia,IRQ,Iraq,70116.1,11.1579,12279.0,9.4156,634618.4,13.3608,611053.3,13.3229,0,0,0,0
MEX,Mexico,EGY,Egypt,142670.5,11.8683,12280.4,9.4158,2288709.0,14.6435,1103773.9,13.9142,0,0,0,0
AUS,Australia,BRA,Brazil,552061.5,13.2214,14091.6,9.5533,1177003.4,13.9785,2905474.5,14.8821,0,1,0,0
